BiGG	formula	charge
C06350	C16H17NO4	0.0
C06453	C63H91CoN13O14P	0.0
C06948	C16H13ClN2O	0.0
C07297	C40H66N7O18P3S	-4.0
C07486	C15H11ClN2O	0.0
C07535	C20H12	0.0
C08261	C9H14O4	-2.0
C08276	C4H7O2S	-1.0
C09209	C12H10N2	0.0
C09640	C11H15NO2	0.0
C09642	C10H13NO2	0.0
C10164	C6H5NO2	0.0
C11304	C30H49N3O10S	0.0
C11695	C22H37NO2	0.0
C11821	C5H4N4O4	0.0
C13856	C23H38O4	0.0
C14768	C20H31O3	-1.0
C14769	C20H31O3	-1.0
C14770	C20H31O3	-1.0
C14771	C20H31O3	-1.0
C14825	C18H32O3	0.0
C14826	C18H32O3	0.0
C14849	C20H12O	0.0
C14851	C20H12O	0.0
CCbuttc	C7H3O6	-3.0
CE0074	C4H2N2O4	0.0
CE0233	C27H48O3	0.0
CE0347	C20H31O3	-1.0
CE0469	C8H13N2O5	-1.0
CE0692	C33H50N7O18P3S	-4.0
CE0693	C33H50N7O18P3S	-4.0
CE0713	C39H60N7O18P3S	-4.0
CE0737	C3H3O2	-1.0
CE0782	C35H54N7O18P3S	-4.0
CE0785	C35H54N7O17P3S	-4.0
CE0849	C37H58N7O17P3S	-4.0
CE0853	C37H58N7O18P3S	-4.0
CE0955	C20H34O6	0.0
CE1059	C11H23N3O2	0.0
CE1102	C35H56N7O18P3S	-4.0
CE1162	C20H28O	0.0
CE1243	C17H26O3	0.0
CE1261	C12H16N2O6S	0.0
CE1272	C27H48O4	0.0
CE1273	C27H48O5	0.0
CE1274	C27H46O5	0.0
CE1277	C27H48O5	0.0
CE1278	C27H48O5	0.0
CE1279	C27H48O5	0.0
CE1292	C27H43O3	-1.0
CE1293	C27H44O2	0.0
CE1294	C27H44O2	0.0
CE1297	C27H44O	0.0
CE1298	C27H44O2	0.0
CE1310	C5H8NO3S	-1.0
CE1352	C21H31O6S	-1.0
CE1401	C4H7NOS	0.0
CE1447	C20H31O6	-1.0
CE1554	C5H9NO3	0.0
CE1556	C6H10N2O4	0.0
CE1562	C9H5NO4	0.0
CE1589	C45H70N7O19P3S	-4.0
CE1617	C20H27O2	-1.0
CE1661	C9H15N2O5	-1.0
CE1665	C15H22N4O9S	-2.0
CE1761	C20H30O2	0.0
CE1787	C12H25N2O7	1.0
CE1918	C10H11NO2	0.0
CE1925	C16H22O4	0.0
CE1926	C15H20O4	0.0
CE1935	C10H26N3O	3.0
CE1936	C10H22N2O2	2.0
CE1937	C10H25N3O2	2.0
CE1939	C7H18N2O	2.0
CE1940	C7H18N2O	2.0
CE1941	C7H17N2O2	1.0
CE1943	C7H14NO2	1.0
CE1944	C4H8N	1.0
CE1950	CH2NO2S	0.0
CE1957	C8H5NO5	-2.0
CE2006	C9H16O2	0.0
CE2011	CHNOS	0.0
CE2020	C22H34NO3	-1.0
CE2026	C7H11NO3	0.0
CE2028	C5H10O3	0.0
CE2038	C40H66N7O17P3S	-4.0
CE2047	C18H33O4	-1.0
CE2049	C18H33O4	-1.0
CE2053	C20H29O5	-1.0
CE2056	C20H31O6	-1.0
CE2065	C11H15N4O4	-1.0
CE2072	C7H17N2O2	1.0
CE2084	C20H29O3	-1.0
CE2088	C11H13N3O5S	-2.0
CE2089	C9H12N3O4S	-1.0
CE2095	C16H22N2O9	0.0
CE2102	C14H26N2O3S2	0.0
CE2122	C11H11NO2	0.0
CE2152	C11H12N2	0.0
CE2153	C11H12N2O	0.0
CE2172	C9H12NO2	1.0
CE2173	C10H13NO3	0.0
CE2174	C9H12NO3	1.0
CE2176	C10H13NO4	0.0
CE2180	C18H22O3	0.0
CE2183	C19H26O3	0.0
CE2184	C19H24O3	0.0
