reaction	lb	ub
R_EAR160x	0	1000
R_EAR160y	0	1000
R_EAR161x	0	1000
R_EAR161y	0	1000
R_EAR180x	0	1000
R_EAR180y	0	1000
R_EAR181x	0	1000
R_EAR181y	0	1000
R_EAR40x	0	1000
R_EAR40y	0	1000
R_EAR60x	0	1000
R_EAR60y	0	1000
R_EAR80x	0	1000
R_EAR80y	0	1000
R_ECA4COLIPAabctex	0	1000
R_ECA4OALpp	0	1000
R_ECAP1pp	0	1000
R_ECAP2pp	0	1000
R_ECAP3pp	0	1000
R_ECAtpp	0	1000
R_ECOAH1	-1000	1000
R_ECOAH2	-1000	1000
R_ECOAH3	-1000	1000
R_ECOAH4	-1000	1000
R_ECOAH5	-1000	1000
R_ECOAH6	-1000	1000
R_ECOAH7	-1000	1000
R_ECOAH8	-1000	1000
R_EDA	0	1000
R_EDD	0	1000
R_EDTXS1	0	1000
R_EDTXS2	0	1000
R_EDTXS3	0	1000
R_EDTXS4	0	1000
R_EGMEACPR	0	1000
R_ENLIPAabctex	0	1000
R_ENO	-1000	1000
R_ENTCS	0	1000
R_ENTERES	0	1000
R_EPMEACPR	0	1000
R_ETHAAL	0	1000
R_ETHAt2pp	0	1000
R_ETHAtex	-1000	1000
R_ETHSO3abcpp	0	1000
R_ETHSO3tex	-1000	1000
R_ETOHtex	-1000	1000
R_ETOHtrpp	-1000	1000
R_F1PP	0	1000
R_F6PA	-1000	1000
R_F6PP	0	1000
R_F6Pt6_2pp	0	1000
R_F6Ptex	-1000	1000
R_FA100ACPHi	0	1000
R_FA120ACPHi	0	1000
R_FA140ACPHi	0	1000
R_FA141ACPHi	0	1000
R_FA160ACPHi	0	1000
R_FA161ACPHi	0	1000
R_FA80ACPHi	0	1000
R_FACOAE100	0	1000
R_FACOAE120	0	1000
R_FACOAE140	0	1000
R_FACOAE141	0	1000
R_FACOAE160	0	1000
R_FACOAE161	0	1000
R_FACOAE180	0	1000
R_FACOAE181	0	1000
R_FACOAE60	0	1000
R_FACOAE80	0	1000
